Time (s),Ch1 (V)
0.0510000,1.2899697
0.0511250,1.3310727
0.0512500,1.3842648
0.0513750,1.4084430
0.0515000,1.4713065
0.0516250,1.5099917
0.0517500,1.5365877
0.0518750,1.5825264
0.0520000,1.6042868
0.0521250,1.6429720
0.0522500,1.6864928
0.0523750,1.7106711
0.0525000,1.7445206
0.0526250,1.7566097
0.0527500,1.7783701
0.0528750,1.8170553
0.0530000,1.8315623
0.0531250,1.8654118
0.0532500,1.8726653
0.0533750,1.8823366
0.0535000,1.9210218
0.0536250,1.9040970
0.0537500,1.9089327
0.0538750,1.9137683
0.0540000,1.9186039
0.0541250,1.9161861
0.0542500,1.9282752
0.0543750,1.9186039
0.0545000,1.9210218
0.0546250,1.9500357
0.0547500,1.9210218
0.0548750,1.9137683
0.0550000,1.9137683
0.0551250,1.9089327
0.0552500,1.9137683
0.0553750,1.9137683
0.0555000,1.9016792
0.0556250,1.9016792
0.0557500,1.8895901
0.0558750,1.8871722
0.0560000,1.8920079
0.0561250,1.8895901
0.0562500,1.8895901
0.0563750,1.8847544
0.0565000,1.8823366
0.0566250,1.8823366
0.0567500,1.8750831
0.0568750,1.8678296
0.0570000,1.8750831
0.0571250,1.8895901
0.0572500,1.8629940
0.0573750,1.8629940
0.0575000,1.8581583
0.0576250,1.8605762
0.0577500,1.8557405
0.0578750,1.8533227
0.0580000,1.8581583
0.0581250,1.8533227
0.0582500,1.8484870
0.0583750,1.8484870
0.0585000,1.8436514
0.0586250,1.8363979
0.0587500,1.8339801
0.0588750,1.8412336
0.0590000,1.8388157
0.0591250,1.8339801
0.0592500,1.8291445
0.0593750,1.8291445
0.0595000,1.8291445
0.0596250,1.8291445
0.0597500,1.8218910
0.0598750,1.8267266
0.0600000,1.8243088
0.0601250,1.8170553
0.0602500,1.8194732
0.0603750,1.8146375
0.0605000,1.8146375
0.0606250,1.8025484
0.0607500,1.8170553
0.0608750,1.8098019
0.0610000,1.8098019
0.0611250,1.8025484
0.0612500,1.8049662
0.0613750,1.8049662
0.0615000,1.7977127
0.0616250,1.7952949
0.0617500,1.7904593
0.0618750,1.8025484
0.0620000,1.7977127
0.0621250,1.7904593
0.0622500,1.7856236
0.0623750,1.7904593
0.0625000,1.7880414
0.0626250,1.7856236
0.0627500,1.7832058
0.0628750,1.7856236
0.0630000,1.7807880
0.0631250,1.7783701
0.0632500,1.7832058
0.0633750,1.7711167
0.0635000,1.7735345
0.0636250,1.7662810
0.0637500,1.7711167
0.0638750,1.7662810
0.0640000,1.7638632
0.0641250,1.7590276
0.0642500,1.7662810
0.0643750,1.7614454
0.0645000,1.7493563
0.0646250,1.7614454
0.0647500,1.7517741
0.0648750,1.7517741
0.0650000,1.7590276
0.0651250,1.7421028
0.0652500,1.7421028
0.0653750,1.7324315
0.0655000,1.7324315
0.0656250,1.7445206
0.0657500,1.7372671
0.0658750,1.7396850
0.0660000,1.7372671
0.0661250,1.7372671
0.0662500,1.7445206
0.0663750,1.7493563
0.0665000,1.7541919
0.0666250,1.7880414
0.0667500,1.8073840
0.0668750,1.8388157
0.0670000,1.8678296
0.0671250,1.8823366
0.0672500,1.9065148
0.0673750,1.9234396
0.0675000,1.9524535
0.0676250,1.9572891
0.0677500,1.9645426
0.0678750,1.9838852
0.0680000,1.9863030
0.0681250,1.9814674
0.0682500,1.9887209
0.0683750,1.9959743
0.0685000,1.9959743
0.0686250,1.9887209
0.0687500,1.9935565
0.0688750,1.9935565
0.0690000,1.9911387
0.0691250,1.9863030
0.0692500,1.9838852
0.0693750,1.9814674
0.0695000,1.9742139
0.0696250,1.9742139
0.0697500,1.9693783
0.0698750,1.9717961
0.0700000,1.9717961
0.0701250,1.9669604
0.0702500,1.9669604
0.0703750,1.9597070
0.0705000,1.9766317
0.0706250,1.9548713
0.0707500,1.9500357
0.0708750,1.9476178
0.0710000,1.9452000
0.0711250,1.9452000
0.0712500,1.9452000
0.0713750,1.9427822
0.0715000,1.9379465
0.0716250,1.9306931
0.0717500,1.9306931
0.0718750,1.9306931
0.0720000,1.9282752
0.0721250,1.9258574
0.0722500,1.9210218
0.0723750,1.9234396
0.0725000,1.9161861
0.0726250,1.9137683
0.0727500,1.9137683
0.0728750,1.9065148
0.0730000,1.9113505
0.0731250,1.9065148
0.0732500,1.9065148
0.0733750,1.9016792
0.0735000,1.8968435
0.0736250,1.8944257
0.0737500,1.8944257
0.0738750,1.8895901
0.0740000,1.8895901
0.0741250,1.8871722
0.0742500,1.8823366
0.0743750,1.8823366
0.0745000,1.8823366
0.0746250,1.8775009
0.0747500,1.8702475
0.0748750,1.8750831
0.0750000,1.8702475
0.0751250,1.8654118
0.0752500,1.8654118
0.0753750,1.8750831
0.0755000,1.8557405
0.0756250,1.8557405
0.0757500,1.8557405
0.0758750,1.8533227
0.0760000,1.8509049
0.0761250,1.8436514
0.0762500,1.8460692
0.0763750,1.8460692
0.0765000,1.8388157
0.0766250,1.8315623
0.0767500,1.8363979
0.0768750,1.8363979
0.0770000,1.8315623
0.0771250,1.8315623
0.0772500,1.8243088
0.0773750,1.8170553
0.0775000,1.8218910
0.0776250,1.8146375
0.0777500,1.8122197
0.0778750,1.8267266
0.0780000,1.8098019
0.0781250,1.8025484
0.0782500,1.8049662
0.0783750,1.8049662
0.0785000,1.7977127
0.0786250,1.8001306
0.0787500,1.7977127
0.0788750,1.7904593
0.0790000,1.7977127
0.0791250,1.7904593
0.0792500,1.7856236
0.0793750,1.7807880
0.0795000,1.7856236
0.0796250,1.7783701
0.0797500,1.7783701
