Time (s),Ch1 (V)
0.2415000,0.4098816
0.2420000,0.5114303
0.2425000,0.5646224
0.2430000,0.6153967
0.2435000,0.6492462
0.2440000,0.6250680
0.2445000,0.6951849
0.2450000,0.6830958
0.2455000,0.6710067
0.2460000,0.6540819
0.2465000,0.6202324
0.2470000,0.5501155
0.2475000,0.5307729
0.2480000,0.4969233
0.2485000,0.4558203
0.2490000,0.4292242
0.2495000,0.3929569
0.2500000,0.3711965
0.2505000,0.3542717
0.2510000,0.3107509
0.2515000,0.3059152
0.2520000,0.2744835
0.2525000,0.2720657
0.2530000,0.2575587
0.2535000,0.2503053
0.2540000,0.2648122
0.2545000,0.2237092
0.2550000,0.2140379
0.2555000,0.2043666
0.2560000,0.1971131
0.2565000,0.1946953
0.2570000,0.1898596
0.2575000,0.1850240
0.2580000,0.1826062
0.2585000,0.1753527
0.2590000,0.1801883
0.2595000,0.1656814
0.2600000,0.1680992
0.2605000,0.1632636
0.2610000,0.1656814
0.2615000,0.1656814
0.2620000,0.1680992
0.2625000,0.1705171
0.2630000,0.1753527
0.2635000,0.1826062
0.2640000,0.1801883
0.2645000,0.1874418
0.2650000,0.1898596
0.2655000,0.1995309
0.2660000,0.1995309
0.2665000,0.2212914
0.2670000,0.2212914
0.2675000,0.2333805
0.2680000,0.2478874
0.2685000,0.2527231
0.2690000,0.2672300
0.2695000,0.3083330
0.2700000,0.2986617
0.2705000,0.3252578
0.2710000,0.3639430
0.2715000,0.3711965
0.2720000,0.4074638
0.2725000,0.4413134
0.2730000,0.4872520
0.2735000,0.5041768
0.2740000,0.5791293
0.2745000,0.6226502
0.2750000,0.6419928
0.2755000,0.7048562
0.2760000,0.7411236
0.2765000,0.7701375
0.2770000,0.7967335
0.2775000,0.7894800
0.2780000,0.7749731
0.2785000,0.7435414
0.2790000,0.7024384
0.2795000,0.6395749
0.2800000,0.5597867
0.2805000,0.4945055
0.2810000,0.3784499
0.2815000,0.3276756
0.2820000,0.2720657
0.2825000,0.1584279
0.2830000,0.2067844
0.2835000,0.2478874
0.2840000,0.3518539
0.2845000,0.4050460
0.2850000,0.4920877
0.2855000,0.5573689
0.2860000,0.6516641
0.2865000,0.7193631
0.2870000,0.7604662
0.2875000,0.7773909
0.2880000,0.7894800
0.2885000,0.7822266
0.2890000,0.7362879
0.2895000,0.7266166
0.2900000,0.7241988
0.2905000,0.6540819
0.2910000,0.5912185
0.2915000,0.5476976
0.2920000,0.4920877
0.2925000,0.4848342
0.2930000,0.4340599
0.2935000,0.3905391
0.2940000,0.3736143
0.2945000,0.3421826
0.2950000,0.3204222
0.2955000,0.2841548
0.2960000,0.2696478
0.2965000,0.2623944
0.2970000,0.2478874
0.2975000,0.2357983
0.2980000,0.2188735
0.2985000,0.1995309
0.2990000,0.2092022
0.2995000,0.1535923
0.3000000,0.1535923
0.3005000,0.1511745
0.3010000,0.1535923
0.3015000,0.1656814
0.3020000,0.1487566
0.3025000,0.1511745
0.3030000,0.1535923
0.3035000,0.1511745
0.3040000,0.1487566
0.3045000,0.1487566
0.3050000,0.1511745
0.3055000,0.1535923
0.3060000,0.1535923
0.3065000,0.1535923
0.3070000,0.1584279
0.3075000,0.1584279
0.3080000,0.1560101
0.3085000,0.1511745
0.3090000,0.1463388
0.3095000,0.1511745
0.3100000,0.1535923
0.3105000,0.1511745
0.3110000,0.1535923
0.3115000,0.1004001
0.3120000,0.1826062
0.3125000,0.1535923
0.3130000,0.1535923
0.3135000,0.1560101
0.3140000,0.1487566
0.3145000,0.1535923
0.3150000,0.1511745
0.3155000,0.1511745
0.3160000,0.1535923
0.3165000,0.1511745
0.3170000,0.1511745
0.3175000,0.1511745
0.3180000,0.1560101
0.3185000,0.1535923
0.3190000,0.1511745
0.3195000,0.1560101
0.3200000,0.1535923
0.3205000,0.1487566
0.3210000,0.1705171
0.3215000,0.1535923
0.3220000,0.1560101
0.3225000,0.1584279
0.3230000,0.1535923
0.3235000,0.1535923
0.3240000,0.1487566
0.3245000,0.1535923
0.3250000,0.1584279
0.3255000,0.1511745
0.3260000,0.1511745
0.3265000,0.1535923
0.3270000,0.1511745
0.3275000,0.1560101
0.3280000,0.1511745
0.3285000,0.1511745
0.3290000,0.1511745
0.3295000,0.1511745
0.3300000,0.1487566
0.3305000,0.1560101
0.3310000,0.1560101
0.3315000,0.1560101
0.3320000,0.1318319
0.3325000,0.1535923
0.3330000,0.1535923
0.3335000,0.1560101
0.3340000,0.1560101
0.3345000,0.1511745
0.3350000,0.1560101
0.3355000,0.1560101
0.3360000,0.1511745
0.3365000,0.1535923
0.3370000,0.1511745
0.3375000,0.1560101
0.3380000,0.1535923
0.3385000,0.1511745
0.3390000,0.1511745
0.3395000,0.1511745
0.3400000,0.1535923
0.3405000,0.1487566
0.3410000,0.1511745
0.3415000,0.1560101
0.3420000,0.1560101
0.3425000,0.1535923
0.3430000,0.1535923
0.3435000,0.1560101
0.3440000,0.1511745
0.3445000,0.1463388
0.3450000,0.1560101
0.3455000,0.1511745
0.3460000,0.1584279
0.3465000,0.1511745
0.3470000,0.1535923
0.3475000,0.1511745
0.3480000,0.1560101
0.3485000,0.1535923
0.3490000,0.1463388
0.3495000,0.1560101
0.3500000,0.1560101
0.3505000,0.1560101
0.3510000,0.1560101
0.3515000,0.1535923
0.3520000,0.1511745
0.3525000,0.1560101
0.3530000,0.1511745
0.3535000,0.1535923
0.3540000,0.1511745
0.3545000,0.1487566
0.3550000,0.1487566
0.3555000,0.1463388
0.3560000,0.1560101
0.3565000,0.1535923
0.3570000,0.1535923
0.3575000,0.1535923
0.3580000,0.1560101
0.3585000,0.1511745
0.3590000,0.1535923
0.3595000,0.1511745
0.3600000,0.1511745
0.3605000,0.1560101
0.3610000,0.1584279
0.3615000,0.1560101
0.3620000,0.1487566
0.3625000,0.1511745
0.3630000,0.1535923
0.3635000,0.1535923
0.3640000,0.1511745
0.3645000,0.1584279
0.3650000,0.1535923
0.3655000,0.1535923
0.3660000,0.1511745
0.3665000,0.1535923
0.3670000,0.1535923
0.3675000,0.1511745
0.3680000,0.1535923
0.3685000,0.1511745
0.3690000,0.1535923
0.3695000,0.1560101
0.3700000,0.1366675
0.3705000,0.1511745
0.3710000,0.1560101
0.3715000,0.1560101
0.3720000,0.1584279
0.3725000,0.1535923
0.3730000,0.1511745
0.3735000,0.1511745
0.3740000,0.1560101
0.3745000,0.1535923
0.3750000,0.1850240
0.3755000,0.1560101
0.3760000,0.1560101
0.3765000,0.1511745
0.3770000,0.1511745
0.3775000,0.1560101
0.3780000,0.1560101
0.3785000,0.1511745
0.3790000,0.1535923
0.3795000,0.1584279
0.3800000,0.1535923
0.3805000,0.1535923
0.3810000,0.1560101
0.3815000,0.1560101
0.3820000,0.1511745
0.3825000,0.1608458
0.3830000,0.1535923
0.3835000,0.1560101
0.3840000,0.1487566
0.3845000,0.1511745
0.3850000,0.1560101
0.3855000,0.1511745
0.3860000,0.1560101
0.3865000,0.1535923
0.3870000,0.1560101
0.3875000,0.1511745
0.3880000,0.1487566
0.3885000,0.1511745
0.3890000,0.1535923
0.3895000,0.1535923
0.3900000,0.1535923
0.3905000,0.1560101
0.3910000,0.1487566
0.3915000,0.1560101
0.3920000,0.1511745
0.3925000,0.1511745
0.3930000,0.1511745
0.3935000,0.1535923
0.3940000,0.1511745
0.3945000,0.1560101
0.3950000,0.1535923
0.3955000,0.1535923
0.3960000,0.1535923
0.3965000,0.1560101
0.3970000,0.1560101
0.3975000,0.1560101
0.3980000,0.1511745
0.3985000,0.1511745
0.3990000,0.1535923
0.3995000,0.1584279
0.4000000,0.1511745
0.4005000,0.1535923
0.4010000,0.1511745
0.4015000,0.1560101
0.4020000,0.1439210
0.4025000,0.1487566
0.4030000,0.1560101
0.4035000,0.1560101
0.4040000,0.1487566
0.4045000,0.1487566
0.4050000,0.1511745
0.4055000,0.1511745
0.4060000,0.1487566
0.4065000,0.1898596
0.4070000,0.1511745
0.4075000,0.1560101
0.4080000,0.1535923
0.4085000,0.1535923
0.4090000,0.1560101
0.4095000,0.1560101
0.4100000,0.1560101
0.4105000,0.1511745
0.4110000,0.1560101
0.4115000,0.1535923
