Time (s),Ch1 (V),Ch2 (V)
0.0351250,0.1656814,0.1680992
0.0352500,0.1656814,0.1487566
0.0353750,0.1705171,0.1777705
0.0355000,0.1656814,0.1705171
0.0356250,0.2019488,0.1705171
0.0357500,0.1705171,0.1753527
0.0358750,0.1705171,0.1729349
0.0360000,0.1705171,0.1826062
0.0361250,0.1705171,0.1729349
0.0362500,0.1729349,0.1777705
0.0363750,0.1680992,0.1680992
0.0365000,0.1729349,0.1753527
0.0366250,0.1705171,0.1753527
0.0367500,0.1729349,0.1656814
0.0368750,0.1656814,0.1535923
0.0370000,0.1753527,0.1777705
0.0371250,0.1729349,0.1729349
0.0372500,0.1729349,0.1535923
0.0373750,0.1632636,0.1729349
0.0375000,0.1680992,0.1729349
0.0376250,0.1729349,0.1753527
0.0377500,0.1729349,0.1753527
0.0378750,0.1753527,0.1753527
0.0380000,0.1705171,0.1729349
0.0381250,0.1680992,0.1705171
0.0382500,0.1705171,0.1777705
0.0383750,0.1680992,0.1729349
0.0385000,0.1656814,0.1705171
0.0386250,0.1656814,0.1753527
0.0387500,0.1656814,0.1729349
0.0388750,0.1656814,0.1705171
0.0390000,0.1656814,0.1729349
0.0391250,0.1632636,0.1705171
0.0392500,0.1680992,0.1777705
0.0393750,0.1729349,0.1777705
0.0395000,0.1705171,0.1753527
0.0396250,0.1656814,0.1705171
0.0397500,0.1705171,0.2019488
0.0398750,0.1753527,0.1705171
0.0400000,0.1705171,0.1753527
0.0401250,0.1632636,0.1801883
0.0402500,0.1656814,0.1705171
0.0403750,0.1729349,0.1753527
0.0405000,0.1269962,0.1777705
0.0406250,0.1656814,0.1753527
0.0407500,0.1705171,0.1777705
0.0408750,0.1656814,0.1995309
0.0410000,0.1680992,0.1729349
0.0411250,0.1608458,0.1680992
0.0412500,0.1705171,0.1729349
0.0413750,0.1753527,0.1705171
0.0415000,0.1777705,0.1777705
0.0416250,0.1729349,0.1729349
0.0417500,0.1680992,0.1729349
0.0418750,0.1705171,0.1729349
0.0420000,0.1705171,0.1705171
0.0421250,0.1608458,0.1705171
0.0422500,0.1680992,0.1729349
0.0423750,0.1729349,0.1608458
0.0425000,0.1753527,0.1753527
0.0426250,0.1705171,0.1680992
0.0427500,0.1656814,0.1705171
0.0428750,0.1705171,0.1729349
0.0430000,0.1680992,0.1656814
0.0431250,0.1995309,0.1705171
0.0432500,0.1680992,0.1753527
0.0433750,0.1922775,0.1729349
0.0435000,0.1705171,0.1777705
0.0436250,0.1705171,0.1753527
0.0437500,0.1753527,0.1729349
0.0438750,0.1680992,0.1898596
0.0440000,0.1777705,0.1777705
0.0441250,0.1656814,0.1680992
0.0442500,0.1680992,0.1705171
0.0443750,0.1753527,0.1705171
0.0445000,0.1680992,0.1729349
0.0446250,0.1705171,0.1729349
0.0447500,0.1680992,0.1729349
0.0448750,0.1729349,0.1777705
0.0450000,0.1632636,0.1705171
0.0451250,0.1656814,0.2043666
0.0452500,0.1608458,0.1729349
0.0453750,0.1608458,0.1729349
0.0455000,0.1632636,0.1729349
